119    04 29 08.5   1.5  41 32.9   1.5  161   -4    15.0*   < 1.5'
123    04 33 55.8   1.5  29 34.3   1.0  171  -12   175.     <40. "
124    04 39 24.    5.   01 38.   15.   195  -28     9.5    < 4.0'
125    04 42 50.    5.   39 37.    7.   164   -4     9.5    < 3.0'
129    04 45 24.7   2.0  44 56.7   1.0  160    0    21.       2.7' 1.5  Flux uncertain. Confusing source precedes and 3C129.1 follows.
129.1  04 46 42.   12.   44 48.   45.   161    0    10.5    < 4.5'
130    04 48 50.    3.   51 46.    6.   156    5    12.5      3.0' 1.8
131    04 50 09.8   3.0  31 22.9   3.0  172   -8    13.5    < 2.0'
132    04 53 42.7   3.0  22 43.8   3.0  179  -13    12.5*   < 1.0'      Confusing sources nearby.
133    04 59 54.5   3.0  25 12.2   3.0  178  -10    19.5*   <45. "
134    05 01 17.7   1.0  38 01.2   1.0  168   -2    66.      40. "20.   Double.
135    05 11 43.    6.   01 12.   12.   200  -21    16.0      3.7' 1.5
136.1  05 12 54.   12.   24 54.   45.   180   -8    13.0                3'<d<12'
137    05 15 38.1   3.0  50 52.6   3.0  159    8     9.0*   <40. "
138    05 18 16.    6.   16 35.    8.   187  -11    18.5    < 3.0'
139.1  05 19 21.   18.   34 00.   45.   173   -1    20.      16. ' 6.
139.2  05 21 19.1   3.0  28 11.0   3.0  178   -4    11.0    < 3.0'
141    05 23 26.3   1.5  32 47.0   2.5  175   -1    13.0*   <40. "
142.1  05 28 48.9   5.0  06 29.8   5.0  198  -15    18.0      1.5' 1.5
144    05 31 30.0   1.0  21 58.4   1.0  185   -6  1420.       5.0' 0.6
147    05 38 44.3   1.0  49 49.4   0.5  162   10    58.     < 2. "
147.1  05 39 03.   18.  -01 48.   45.   206  -16    14.5                4.5'<d<13'
152    06 01 30.9   3.0  20 21.4   3.0  190   -1    11.0*   <12. "
153    06 05 44.6   3.0  48 03.5   3.0  165   13    17.5*   <40. "
153.1  06 06 42.   12.   21 12.   24.   189    1    19.0     15. ' 8.
154    06 10 43.5   1.5  26 04.9   0.5  186    4    19.0      1.0' 1.0
157    06 14 36.   12.   22 43.    4.   189    3   210.      29. ' 5.
158    06 18 50.    5.   14 31.    8.   197    0    14.0*   <12. "
165    06 40 04.4   3.0  23 22.0   3.0  191    9    11.0    < 2.5'
166    06 42 25.6   3.0  21 24.0   3.0  193    8    13.0    < 2.5'
169.1  06 47 42.   12.   45 06.   45.   171   19     9.5      2.8' 2.0
171    06 51 14.8   1.0  54 12.3   1.0  162   22    23. *   <45. "
173    06 58 57.   12.   38 04.   20.   179   18    10.0    < 3.0'
172    06 59 04.7   3.0  25 18.0   3.0  191   13    14.0    < 2.5'
173.1  07 03 00.   24.   75 12.   45.   140   27    12.0    < 3.0'
175    07 10 15.4   1.0  11 52.3   1.0  205   10    16.0    <45. "
175.1  07 11 27.   12.   15 36.   45.   202   12    11.5      3.7' 2.0
177    07 21 45.    5.   15 35.   10.   203   14     9.5    < 3.0'      Confused.
180    07 24 34.    4.  -01 59.   10.   219    7    14.0    < 3.0'      Confusing source 2 mins. earlier.
181    07 25 20.    5.   14 45.    9.   204   15    13.0    < 2.5'
184    07 34 34.   20.   70 20.   10.   145   30    11.0    < 2.5'
184.1  07 34 54.   36.   80 30.   45.   134   29    12.0    < 3.0'
186    07 41 04.    6.   38 05.    4.   182   26    13.5    <12. "
187    07 42 26.    8.   01 54.   10.   218   13    11.0      3.0' 2.0
190    07 58 52.    3.   14 27.    6.   208   22    11.0    < 4. "      Position from 3C catalogue: confused by sidelobe response to Cyg. A. for present observations.
191    08 02 04.4   1.0  10 23.6   1.5  212   21    10.5*   <40. "
192    08 02 36.4   3.0  24 19.0   3.0  198   26    19.5    < 2.5'
194    08 06 38.9   1.5  42 36.9   1.8  178   32     9.0    < 3.0'
196    08 10 01.1   1.0  48 22.5   0.5  171   33    59.     <12. "
196.1  08 13 21.   18.  -02 48.   45.   226   17    14.5    < 2.5'
197.1  08 18 21.   12.   46 42.   45.   173   35     9.5    < 3.5'
198    08 19 51.9   5.0  06 07.1   5.0  218   23    16.5      3.7' 1.0
200    08 24 20.    6.   29 28.    5.   194   33    13.0    < 3.0'
204    08 32 59.   10.   65 32.   10.   150   36     9.5    < 3.0'
205    08 35 28.    8.   57 50.    5.   160   37    12.5*   <40. "
207    08 38 12.   12.   12 48.   45.   214   30    10.0    < 3.0'
208    08 50 23.5   1.0  14 03.0   1.5  214   33    16.0    < 2.5'
208.1  08 52 00.   18.   14 42.   45.   213   34    12.5      3.5' 2.0
210    08 55 13.0   3.0  28 03.5   3.0  198   39    10.5*   <12. "
212    08 56 00.    5.   14 25.    8.   214   35    15.5    <15. "
213.1  08 58 07.2   3.0  29 13.2   3.0  196   40    11.0      2.6' 2.0
215    09 03 44.4   3.0  16 57.5   5.0  212   37    10.0    < 3.0'
217    09 05 55.    5.   38 04.    6.   185   43    12.0    < 2.5'
216    09 06 19.5   1.0  43 06.6   0.5  178   43    18.5*   <12. "
219    09 17 51.5   1.0  45 51.5   0.75 174   45    44.     < 1.0'
220.1  09 26 42.   40.   80 12.   45.   132   33    12.0    < 2.5'
220.2  09 27 51.   12.   36 06.   45.   188   47     9.5    < 3.0'
220.3  09 32 00.   45.   83 48.   45.   129   31    14.5    < 2.5'
222    09 33 54.8   5.0  04 38.9   5.0  230   38     9.0*   < 4. "      Confusing source south preceding.
223    09 36 53.    9.   36 08.    8.   188   49    14.5    < 2.5'
223.1  09 38 20.    5.   39 56.    8.   183   49     9.5    < 3.0'
225    09 39 36.    4.   14 04.    3.   220   44    25.     < 3.0'      Probably double.
226    09 41 41.    7.   10 05.    7.   225   43    13.5    < 2.5'
227    09 45 07.0   2.0  07 39.4   3.0  229   42    28.       2.8' 1.0  Possibly double.
228    09 47 25.    5.   14 30.    7.   221   46    16.0*   <40. "
230    09 49 25.6   1.5  00 12.5   2.0  238   39    21. *   <12. "
231    09 51 20.   10.   70 05.   15.   141   40    13.0*   < 1.5'   
234    09 58 57.3   1.0  29 01.6   0.5  200   53    29.     <40. "      Possibly complex brightness distribution.
236    10 03 06.   10.   35 03.    9.   190   54     9.0    < 3.0'
237    10 05 22.2   1.5  07 43.9   1.5  232   47    24. *   <12. "
238    10 08 23.0   5.0  06 41.5   5.0  234   47    13.0    < 2.5'
239    10 08 48.    8.   46 40.   12.   171   53    12.0    < 2.5'
241    10 19 09.9   3.0  22 11.9   3.0  213   56    10.0*   <45. "
244.1  10 30 30.   18.   58 42.   45.   151   51    19.0    < 2.5'
245    10 40 15.    7.   12 22.    6.   233   56     9.5*   <40. "
247    10 56 09.4   3.0  43 18.0   3.0  171   62    15.5      1.5' 1.5
249    10 59 37.    6.  -01 00.    7.   256   51    20.       2.5' 1.5
249.1  11 00 12.   30.   77 30.   45.   130   38    11.5    < 3.0'
250    11 06 11.7   3.0  25 15.1   3.0  213   67    11.0    < 3.0'
252    11 08 58.   10.   35 54.    5.   185   67    12.0      2.0' 1.5
254    11 11 54.3   1.0  40 54.0   0.5  173   66    19.0*   <12. "
255    11 17 02.    7.  -02 31.   14.   263   53    16.5    < 2.5'
256    11 18 04.6   3.0  23 45.5   3.0  218   69     9.5*   <12. "
257    11 20 43.    5.   05 52.    8.   255   60     9.0    < 4.0'      Positions from 3C catalogue: confused by sidelobe, responses to Cass. A. for present observations.
258    11 22 12.    9.   19 39.    7.   230   69     9.0    < 4.0'      Positions from 3C catalogue: confused by sidelobe, responses to Cass. A. for present observations.
263    11 36 55.   10.   66 07.   10.   134   50    13.0    <15. "     
263.1  11 40 49.7   1.5  22 24.6   2.0  227   74    17.5    < 2.0'
264    11 42 31.7   1.5  19 52.4   2.0  236   73    24.       2.7' 1.0
265    11 42 52.4   3.0  31 50.3   3.0  192   75    18.0    < 1.0'
266    11 43 05.9   3.0  50 02.3   3.0  148   64     9.0    < 3.0'
267    11 47 26.    8.   13 10.    7.   255   70    13.5    < 3.5'
268.1  11 57 54.   24.   73 24.   45.   128   44    19.5    < 2.5'
268.2  11 58 25.2   3.0  31 47.9   3.0  188   78     9.0    < 3.5'
268.3  12 04 12.   18.   64 48.   45.   131   52     9.5    < 3.0'
268.4  12 06 44.6  10.   43 56.8   3.0  147   71     9.0    < 3.0'
270    12 16 38.3   5.0  06 06.9   5.0  282   67    44.       4.7' 1.0  Double.
270.1  12 18 04.7   3.0  33 56.0   3.0  167   81    12.0    < 2.5'
272    12 22 02.6   1.5  42 23.0   1.8  141   74     9.5    < 3.0'
272.1  12 22 35.    9.   13 06.   45.   278   74    18.0      4.2' 2.0
