   RA(2000)  Dec(2000)    Flux
 h  m    s    d  m   s      Jy
06 28 48.03 +67 53 12.5   0.57
06 28 48.26 -18 41 53.9   0.97
06 28 48.56 -14 07 46.2   2.00
06 28 49.81 -26 10 14.5   2.76
06 28 49.81 +71 43 56.5   1.29
06 28 49.97 +28 35 43.3   0.68
06 28 50.46 +19 43 34.0   1.53
06 28 50.58 +44 16 50.8   1.65
06 28 54.11 +34 01  5.6   2.14
06 28 55.30 +17 19 57.4   0.68
06 28 55.56 +44 39  2.5   0.44
06 28 58.76 +26 21 39.9   1.17
06 28 58.94 -13 15 59.8   3.33
06 28 59.68 +60 20 13.4   3.74
06 28 59.89 -10 06 23.6   0.85
06 29  1.31 -22 36 58.6   1.35
06 29  1.44 +61 44  8.9   0.74
06 29  2.39 +00 29  3.1  10.30
06 29  3.31 +59 53 35.1   0.67
06 29  4.27 +40 48 54.1   0.84
06 29  5.74 +52 49 30.7   0.58
06 29  5.95 -30 51 27.1   1.03
06 29  8.58 -08 38 43.9   3.63
06 29  9.04 -14 04 48.7   2.95
06 29  9.88 +50 33 38.4   0.71
06 29 12.37 +16 47  3.7   4.89
06 29 12.58 -02 02 18.4   1.24
06 29 12.74 -02 08 59.1   3.44
06 29 14.31 +13 51 34.7   0.89
06 29 15.35 +06 59 13.0   1.06
06 29 15.45 +15 55 12.4   0.47
06 29 15.78 -15 27 18.5   2.05
06 29 16.14 +20 29 14.4   0.71
06 29 19.48 +01 51 32.8   2.00
06 29 19.62 -24 58  0.4   1.88
06 29 19.70 -00 22 59.4   1.23
06 29 20.40 +08 05 44.5   1.55
06 29 21.60 -21 27 48.4   1.44
06 29 21.85 +59 19 28.8   0.54
06 29 23.26 +58 55 41.7   1.25
06 29 23.64 +17 41 51.7   2.02
06 29 25.11 -11 10 23.3   0.69
06 29 29.70 +18 23  6.4   1.56
06 29 33.05 +29 40 53.8   1.33
06 29 33.69 +39 31 28.5   1.73
06 29 34.31 +40 31 40.2   0.73
06 29 35.59 +19 04 29.5   1.72
06 29 35.68 +25 06 53.6   0.99
06 29 36.25 +44 12 13.6   0.59
06 29 37.76 +61 14 41.6   0.34
06 29 37.87 +33 38 30.9   4.11
06 29 37.89 +41 12 39.7   0.65
06 29 39.06 +15 27 49.9   0.63
06 29 42.59 +63 54 28.5   0.64
06 29 45.26 -10 59 43.4   2.27
06 29 45.57 +11 47 11.5   0.73
06 29 45.70 +54 39 17.5   0.67
06 29 45.90 -01 43  6.2   1.22
06 29 46.34 +50 28 19.8   7.71
06 29 46.85 -25 06  2.9   0.70
06 29 46.94 +24 09 47.2   0.75
06 29 46.99 -01 19 50.1   0.94
06 29 48.06 -01 54 24.0   1.15
06 29 48.20 -26 37 16.3   0.50
06 29 48.57 -11 40  6.5   2.27
06 29 48.83 +66 35 49.2   1.01
06 29 48.91 +47 18 12.6   2.44
06 29 50.27 +36 26 24.5   1.29
06 29 50.86 -29 44 42.1   0.90
06 29 51.86 +47 12 18.8   0.56
06 29 52.05 +02 14  1.9   1.17
06 29 53.10 -04 09 42.0   1.17
06 29 53.53 +20 53  5.4   4.18
06 29 54.37 -03 58  8.3   1.35
06 29 55.01 +50 55 52.9   0.42
06 29 55.02 +17 21 49.3   1.13
06 29 55.10 +31 30 26.3   1.00
06 29 55.85 +67 34 24.9   8.02
06 29 56.23 +17 15 28.8   0.50
06 29 57.62 +25 31  7.5   0.79
06 29 59.14 +60 08  7.9   0.65
06 29 59.22 +84 15 44.1   0.49
06 29 59.98 -13 52 19.4   1.12
06 30  0.40 +56 04  3.4   2.32
06 30  0.65 +19 17 48.5   0.82
06 30  1.34 +13 56 54.4   0.86
06 30  1.44 -20 09 31.9   1.19
06 30  2.52 +09 01 22.4   0.85
06 30  2.54 -01 07 17.2   1.46
06 30  2.54 -12 08 27.7   0.96
06 30  2.92 +16 40 34.3   0.61
06 30  3.03 +47 16 25.0   2.88
06 30  3.03 -00 09 20.5   2.31
06 30  4.29 +36 55 10.9   0.53
06 30  4.57 -18 40 28.1   2.03
06 30  6.20 -29 20 51.9   1.15
06 30  6.66 +33 27  0.9   3.48
06 30  6.78 -25 18 59.3   0.65
06 30  7.10 -26 54 15.7   0.88
06 30  7.64 +17 38 11.3   0.50
06 30  7.80 -25 36 39.2   1.28
06 30 11.92 +18 18 25.1   0.59
06 30 14.60 +58 35  5.8   0.41
06 30 15.17 +34 56 45.0   2.14
06 30 15.24 +76 32 47.0  13.57
06 30 15.28 +69 21 56.5   0.56
06 30 16.41 +51 21  0.5   0.49
06 30 17.30 +21 56 31.5   4.71
06 30 17.38 +48 38 17.1   4.83
06 30 17.51 +64 14 23.6   0.88
06 30 17.79 +01 00 49.7   0.90
06 30 19.33 +49 26  8.3   0.94
06 30 19.95 +52 14 29.8   1.20
06 30 20.18 +54 38 35.2   1.43
06 30 20.54 -11 27 15.4   3.00
06 30 22.21 -16 31  9.2   0.77
06 30 23.80 +29 19  0.0   0.97
06 30 26.38 +53 11 45.7   0.54
06 30 28.01 +32 39 30.1   1.52
06 30 28.30 -01 22 49.3   1.46
06 30 28.50 +37 36 33.2   0.60
06 30 29.01 +53 11 48.8   1.00
06 30 29.09 -13 56 55.3   0.91
06 30 29.32 +38 10 29.1   0.89
06 30 29.37 -12 41  0.9   0.88
06 30 30.20 +38 15 17.9   0.74
06 30 31.42 +57 54 44.3   0.44
06 30 31.72 -27 02  3.9   0.77
06 30 31.77 +53 55  2.5   2.08
06 30 31.94 -00 18 29.6   1.50
06 30 38.71 +66 22 55.6   0.81
06 30 39.05 +34 42 48.1   0.82
06 30 39.15 +12 39 47.8   1.23
06 30 42.27 +73 01 30.4   0.89
06 30 42.58 -20 05  7.8   1.65
06 30 42.65 +53 10 58.1   1.66
06 30 43.10 +01 45 37.7   1.35
06 30 43.83 -21 32  3.2   1.15
06 30 44.62 +42 28  8.5   4.40
06 30 45.34 +16 16 52.2   1.13
06 30 45.46 +40 01 36.5   3.19
06 30 45.68 -09 52 21.8   0.87
06 30 46.49 +59 09 41.5   0.49
06 30 47.08 -24 45 52.8   2.98
06 30 47.41 -03 57 48.1   1.02
06 30 48.07 +50 10  3.8   2.07
06 30 48.94 +00 10 48.0   1.74
06 30 49.55 -28 34 38.9   2.61
06 30 52.48 +06 24 55.1   1.52
06 30 53.57 +20 47 59.0   1.03
06 30 53.65 +45 39 38.4   1.21
06 30 53.95 +10 55 54.4   8.95
06 30 53.97 -13 08 38.8   2.10
06 30 55.04 -07 39  0.6   1.77
06 30 55.21 -25 26  1.6   0.68
06 30 55.97 -27 24 21.3   1.81
06 30 56.98 +30 03  9.1   1.38
06 30 57.41 +07 26 57.0   1.23
06 30 58.30 +06 21 45.8   0.71
06 30 59.99 +38 56 51.2   0.78
06 31  0.35 -30 16  6.0   3.25
06 31  0.54 +20 20 56.2   0.65
06 31  1.38 +33 19 19.1   0.57
06 31  2.10 +21 56 40.0   2.05
06 31  2.33 +21 23 41.2   0.92
06 31  4.89 +57 55 45.3   0.74
06 31  5.26 -20 09 54.9   1.54
06 31  7.27 +81 23 28.8   0.80
06 31  7.36 +56 36 40.1   0.76
06 31  7.94 +21 56  7.2   1.24
06 31  9.75 +40 17 50.1   0.86
06 31 10.28 -11 29  7.6   1.14
06 31 11.42 -26 42  8.8   0.66
06 31 12.63 +40 19 56.9   1.87
06 31 12.66 +31 47 58.5   0.61
06 31 12.84 +73 28 16.5   0.37
06 31 13.20 +22 34 45.1   3.50
06 31 13.51 -30 48 29.1   1.13
06 31 16.35 -03 48 52.6   3.85
06 31 16.75 +32 24  4.8   0.64
06 31 17.79 +36 08 16.9   4.35
06 31 18.17 +11 13 51.1   0.83
06 31 19.20 +33 20 46.2   0.73
06 31 19.57 +63 20 25.9   0.50
06 31 20.18 -14 10 28.5   1.42
06 31 21.27 -08 14 55.1   1.67
06 31 22.72 +36 30 22.6   1.05
06 31 22.88 +25 01 13.9   2.26
06 31 23.98 +05 02 43.1   1.25
06 31 24.26 +73 12 14.7   1.17
06 31 25.53 -04 42  3.1   1.13
06 31 26.24 +25 00 54.1  21.52
06 31 26.38 -28 01 20.4   1.55
06 31 26.83 +49 50 32.1   0.41
06 31 27.65 +46 05 32.0   0.59
06 31 28.15 +42 54 35.5   1.82
06 31 30.04 -16 25 46.1   1.10
06 31 30.27 +17 55 50.2   1.21
06 31 31.01 -18 11 33.9   2.77
06 31 31.11 +24 59 37.7   2.84
06 31 31.30 -07 24 58.3   1.10
06 31 31.59 -30 27 45.0   0.99
06 31 32.24 +21 51 19.6   2.47
06 31 32.30 -27 48 55.7   2.12
06 31 32.62 -19 31 50.4   1.69
06 31 32.64 +19 08 47.8   9.49
06 31 32.95 +24 55 20.4   1.00
06 31 35.86 +74 08 56.4   1.37
06 31 36.92 +46 21 56.6   0.78
06 31 36.96 +62 53 54.9   4.88
06 31 37.91 +55 31 43.0   2.35
06 31 38.14 +31 17 31.4   1.58
06 31 41.15 +60 27 38.5   0.43
06 31 41.85 +33 18 56.5   3.70
06 31 42.22 -15 12 35.3   1.79
06 31 43.23 +57 40 35.5   0.52
06 31 44.31 +64 08  2.7   3.21
06 31 45.23 +09 16 21.9   1.17
06 31 46.60 -03 41 14.4   1.17
06 31 47.59 +70 33 53.1   0.96
06 31 49.33 -22 45 11.5   1.93
06 31 49.67 +15 43 36.2   0.98
06 31 51.27 +00 36  8.2   3.73
06 31 52.96 -10 33 56.1   2.59
06 31 53.99 -07 53 42.9   1.82
06 31 55.89 -00 11 33.9   1.52
06 31 57.48 -05 51 40.2   4.67
06 31 58.97 +70 18  2.9   0.50
06 31 59.84 +25 20 39.2   1.17
06 32  0.08 +84 17 36.7   0.53
06 32  0.77 +41 43 12.5   0.70
06 32  1.03 -25 30 28.8   1.60
06 32  1.08 -01 56 26.8   1.23
06 32  1.12 +46 57 28.9   0.66
06 32  1.19 -20 33 32.1   1.10
06 32  1.24 +13 37  4.1   4.70
06 32  1.38 +52 03  9.0   3.48
06 32  2.59 +43 48 58.6   0.54
06 32  4.91 +14 03 50.0   1.75
06 32  6.52 +68 36 34.2   0.57
06 32  7.03 -26 14 14.1   2.88
06 32  7.18 +36 32 35.6   1.36
06 32  8.10 -29 45  1.5   1.08
06 32  8.33 +17 37 43.4   1.45
06 32  9.66 +18 36 45.3   1.06
06 32  9.96 +61 59 28.8   0.87
06 32 11.66 -11 37 39.9   0.69
06 32 11.77 +57 23 27.5   1.90
06 32 11.92 -11 36 26.7   3.13
06 32 12.45 +80 20 37.1   1.83
06 32 12.81 -19 34 41.8   1.24
06 32 12.92 +49 03 18.8   1.50
06 32 13.50 -26 44  2.0   0.82
06 32 13.64 -03 15 49.8   1.43
06 32 14.86 +10 22  4.0   2.71
06 32 14.85 +70 31 52.9   0.46
06 32 16.24 -18 28  0.4   1.47
06 32 17.86 -27 21 14.9   7.09
06 32 18.02 -27 38 56.1   1.24
06 32 18.30 +23 23 59.1   3.34
06 32 18.47 +62 55  6.0   0.71
06 32 19.46 +42 14 33.2   7.56
06 32 19.61 +16 22 21.8   4.40
06 32 20.70 +39 47 11.7   0.59
06 32 21.02 +58 23 28.7   2.44
06 32 23.65 +22 12 55.9   1.16
06 32 24.31 +53 49 34.2   0.44
06 32 26.18 +40 45 41.3   0.74
06 32 26.28 -25 43 25.8   1.00
06 32 26.57 +56 50 32.2   1.37
06 32 27.78 +44 05 50.7   0.73
06 32 28.66 -27 21 11.5   5.23
06 32 31.22 -22 23 27.8   0.98
06 32 32.68 -08 02  4.4   1.15
06 32 32.84 +25 53 15.3   2.27
06 32 33.56 +45 30 25.8   1.10
06 32 33.87 -06 34 21.8   2.20
06 32 33.97 +37 52  9.9   0.99
06 32 34.14 +62 08 55.9   3.63
06 32 35.48 +53 46 23.2   0.59
06 32 36.37 +60 14 11.2   0.40
06 32 36.58 -00 34 17.2   1.90
06 32 37.66 +59 35 56.9   5.08
06 32 38.02 +09 19  2.2   0.86
06 32 39.06 +01 44 31.5   1.20
06 32 41.82 +14 01 58.1   1.99
06 32 42.33 +30 51  6.0   0.62
06 32 42.74 +16 00 26.5   4.07
06 32 43.26 -25 09 23.9   0.78
06 32 43.45 +08 59 24.7   0.83
06 32 44.15 +14 10 56.0   0.94
06 32 45.18 +50 20 29.9   8.66
06 32 45.30 +66 06  0.5   0.85
06 32 45.60 +36 35 52.9   0.82
06 32 45.83 +62 52 25.5   1.41
06 32 46.89 +44 32 47.6   1.12
06 32 47.82 -04 10 41.9   1.81
06 32 48.09 +52 41 30.0   0.72
06 32 48.63 +36 17  8.1   0.81
06 32 49.49 +65 00 13.9   1.73
06 32 50.20 +43 21 16.8   2.32
06 32 50.89 +53 56 13.0   1.84
06 32 51.12 +21 08 30.0   0.78
06 32 51.22 -19 21 21.0   4.10
06 32 51.36 -03 28 31.5   1.55
06 32 52.54 -20 42 22.7   4.45
06 32 53.34 +30 48  1.3   2.78
06 32 54.24 +18 53 47.2   1.38
06 32 54.94 +23 53 48.8   0.65
06 32 54.99 +68 27 27.0   0.36
06 32 55.06 +50 25 12.9   0.53
06 32 55.32 +14 29 21.1   0.88
06 32 56.52 +16 33 35.5   2.70
06 32 57.31 +57 56 40.2   0.44
06 32 59.03 +26 54 54.1   0.73
06 33  0.49 +14 35 53.0   3.03
06 33  0.81 +70 14 29.9   0.58
06 33  2.09 +53 40 58.6   0.91
06 33  5.12 +58 53 35.4   8.54
06 33  5.41 +32 31 54.3   3.55
06 33  5.72 +14 36 55.5   0.72
06 33  6.67 +14 10 24.6   0.91
06 33  7.35 +26 22 30.8   0.96
06 33  8.50 +43 28 14.3   0.70
06 33 10.04 -18 02 48.8   1.79
06 33 11.34 -25 21 11.2   1.54
06 33 13.00 +08 13 18.2   6.81
06 33 13.77 +35 09 31.8   0.55
06 33 15.36 +47 18 17.3   0.88
06 33 15.49 +38 59 22.6   0.60
06 33 17.27 +72 08 12.7   0.57
06 33 18.02 +62 56 24.8   0.55
06 33 18.25 +62 35 32.8   1.47
06 33 18.96 +60 24 32.8   1.21
06 33 20.77 -28 40  8.4   1.59
06 33 24.58 +07 05  2.0   1.36
06 33 25.02 +44 15 34.3   0.43
06 33 25.08 +27 55 30.9   0.85
06 33 27.42 +45 36 22.4   0.61
06 33 27.56 +43 46 58.7   0.51
06 33 27.73 +25 27 40.7   1.16
06 33 28.94 +32 39 33.1   0.65
06 33 30.19 +51 07 25.2   0.37
06 33 30.62 -17 06  3.2   1.86
06 33 31.03 +16 58 27.0   1.05
06 33 31.98 +06 35 45.8   1.41
06 33 32.36 -14 44 37.8   2.56
06 33 35.86 -28 57  7.5   1.43
06 33 35.88 +14 33 27.2   0.80
06 33 37.07 +40 35 26.0   0.66
06 33 37.52 +50 37 31.5   0.46
06 33 38.65 +59 53 27.1   0.50
06 33 38.91 -03 11 34.8   0.90
06 33 39.58 +40 05 39.8   0.82
06 33 40.17 +59 38 50.4   1.11
06 33 40.28 +27 05 35.5   0.84
06 33 40.63 +11 38 59.7  14.18
06 33 40.98 +48 31 17.8   0.68
06 33 41.41 +48 30 43.1   5.03
06 33 42.64 +48 29 10.2   0.95
06 33 44.19 +45 49 14.9   0.66
06 33 44.97 +71 40 47.0   0.47
06 33 46.40 +09 43 19.0   3.87
06 33 46.71 +05 37  1.4   1.56
06 33 46.82 +60 47 11.6   0.78
06 33 48.00 +51 20 10.6   0.97
06 33 48.31 +58 29 46.2   1.75
06 33 49.09 -11 27 34.6   1.64
06 33 50.02 -10 41  3.8   1.10
06 33 50.21 +25 07 12.0   1.96
06 33 50.47 -05 27 38.5   1.94
06 33 51.18 +21 30 52.2   1.26
06 33 51.18 -25 17 27.1   0.70
06 33 51.33 -22 51 38.6   0.94
06 33 51.88 +39 38 21.8   0.66
06 33 52.23 +46 53 38.4  15.28
06 33 52.76 +39 41 50.6   1.53
06 33 54.69 +13 06  5.7   0.65
06 33 54.81 +74 44 34.8   2.50
06 33 55.38 -13 10  9.7   1.25
06 33 55.69 +35 03 18.9   1.22
06 33 56.12 +41 04 44.1   0.77
06 33 56.16 +53 17  1.1   2.83
06 33 56.85 -10 03 30.0   2.57
06 33 57.27 -23 21 57.2   1.87
06 33 57.82 -03 21 29.5   2.74
06 33 58.13 -24 01 16.2   2.33
06 33 59.17 +53 03 17.2   1.00
06 33 59.58 -13 58 11.7   1.83
06 33 59.70 +00 51 41.4  10.68
06 34  2.69 +34 58 29.9   0.81
06 34  2.78 -09 20 15.3   1.09
06 34  3.61 +30 11 52.8   2.31
06 34  7.95 -24 42 27.7   1.29
06 34  7.95 +18 15 53.6   2.55
06 34  8.63 -24 51 23.2   3.02
06 34 10.61 +13 36 17.8   0.66
06 34 11.85 +69 57  9.4   2.23
06 34 13.09 +57 40 35.7   0.50
06 34 13.32 -23 50 42.2   2.32
06 34 16.60 +15 21 11.7   0.76
06 34 17.56 +59 29 32.8   0.73
06 34 17.74 +34 46 22.3   0.92
06 34 18.46 +07 32 23.6   1.04
06 34 19.44 -12 44  3.1   1.07
06 34 19.86 +59 20 12.3   1.24
06 34 20.36 +14 08 11.6   2.25
06 34 21.11 +28 32 30.6   2.03
06 34 21.68 -03 52 42.1   1.96
06 34 23.51 +19 35 57.2   0.58
06 34 25.12 +69 08 43.1   0.76
06 34 27.15 -14 15  7.1   1.90
06 34 27.60 +25 50 51.0   1.64
06 34 27.95 +55 33 33.0   0.48
06 34 28.53 +18 17 20.3   0.96
06 34 28.63 -16 03  5.4   0.81
06 34 30.03 -14 05 27.6   1.21
06 34 30.47 +46 49 11.4   1.00
06 34 31.41 +26 34 26.1   0.57
06 34 32.19 +45 39 25.9   0.52
06 34 32.49 +09 29 56.7   1.84
06 34 33.16 +57 49 55.1   2.11
06 34 33.54 +56 21 39.1   0.49
06 34 34.03 -27 11 23.0  10.10
06 34 34.59 -27 51 32.4   2.16
06 34 35.23 -11 35 56.3   1.16
06 34 36.26 +22 07 57.8   1.07
06 34 37.92 +19 00 46.2   1.65
06 34 38.89 +65 20 16.9   1.36
06 34 39.02 -13 40 10.1   0.73
06 34 39.69 -05 19 57.0   0.98
06 34 39.84 +24 43 40.6   1.77
06 34 40.41 +68 08 12.3   2.36
06 34 41.14 +33 04 40.0   0.73
06 34 41.67 +53 11 39.6   0.54
06 34 43.38 +43 15 43.9   0.69
06 34 44.06 -18 51 21.4   4.27
06 34 44.37 +14 14 23.4   1.70
06 34 44.44 +23 49 25.5   1.47
06 34 46.63 +22 06 40.9   2.35
06 34 48.33 +30 15  2.3   0.63
06 34 49.48 +74 52 48.9   0.70
06 34 49.89 +52 19 50.2   1.21
06 34 51.07 -15 11 54.4   0.76
06 34 51.34 +19 09 43.5   8.88
06 34 51.92 -18 56 14.7   1.12
06 34 52.03 +67 12 37.7   0.69
06 34 52.96 +01 56 16.4   5.90
06 34 53.55 -07 21 59.3   0.74
06 34 55.51 +19 22  6.8   1.33
06 34 55.55 +45 00 44.2   0.83
06 34 57.97 +48 13  4.3   0.50
06 34 58.55 -22 58 26.3   1.96
06 34 58.78 +30 26 26.5   0.61
06 35  0.68 +66 22 29.2   0.60
06 35  1.78 +45 19 26.2   0.70
06 35  2.31 +20 24 38.6   4.09
06 35  2.73 -25 30 38.1   1.49
06 35  3.01 +19 16 49.2   1.37
06 35  5.25 -04 06  9.3   1.61
06 35  5.72 +27 30 36.3   0.89
06 35  7.70 +12 14 57.9   3.22
06 35  9.73 -18 13 59.7   4.63
06 35 10.09 -25 41 18.9   0.64
06 35 10.15 +02 10 10.0   3.05
06 35 10.33 +44 27  4.9   4.24
06 35 11.07 +34 38 48.7   1.40
06 35 12.32 -24 41  3.1   0.81
06 35 13.95 -11 04 36.2   0.88
06 35 16.00 -03 58 39.0   0.79
06 35 17.74 -10 32 36.4   1.14
06 35 18.68 +69 49 54.8   1.18
06 35 20.56 +29 01 17.1   2.21
06 35 21.04 -26 20 40.5   0.83
06 35 21.93 +18 55 15.2  12.88
06 35 23.84 +33 31  3.9   3.05
06 35 23.94 +81 48  0.6   1.34
06 35 24.33 -15 48  8.4   1.06
06 35 26.06 +54 15 35.7   0.51
06 35 26.99 +22 20  5.5   0.68
06 35 28.72 +53 23 25.0   1.56
06 35 29.27 +80 16 33.6   0.51
06 35 29.93 -02 20  0.3   3.67
06 35 31.44 -29 08 49.7   1.55
06 35 33.04 +14 57 59.4   0.77
06 35 34.16 +51 06 35.2   1.80
06 35 34.32 +14 50 25.9   3.69
06 35 35.05 -07 46 49.7   2.07
06 35 35.29 +59 53 25.4   0.62
06 35 37.05 +37 07 27.7   0.80
06 35 37.25 +26 16 40.3   7.57
06 35 38.01 +71 14 11.6   0.42
06 35 38.57 +43 35 10.3   0.52
06 35 38.85 -16 36 43.4   1.24
06 35 39.60 +59 33 57.1   0.93
06 35 39.68 +21 15  0.5   0.69
06 35 39.97 -25 35  9.2   1.92
06 35 40.15 +56 54 37.9   0.49
06 35 40.39 +44 37 47.4   0.78
06 35 41.54 -14 36 17.1   0.99
06 35 42.21 +33 01 31.5   8.87
06 35 43.30 +47 53 41.4   3.16
06 35 43.38 +40 20  8.6   0.59
06 35 43.98 -08 56  1.9   0.69
06 35 44.27 +41 13 45.8   1.08
06 35 44.28 +51 19 18.3   0.67
06 35 46.63 +16 30 25.1   0.75
06 35 46.82 +60 07 21.0   0.36
06 35 49.75 -14 15  0.0   2.35
06 35 50.45 +72 01  7.4   0.45
06 35 50.51 -04 15  5.1   7.74
06 35 51.00 +06 57 41.7   1.10
06 35 51.35 +56 21 35.8   0.45
06 35 51.65 +54 26 14.6   0.54
06 35 51.83 +03 42  1.1   0.90
06 35 51.89 -25 17 53.6   2.05
06 35 52.81 -09 45 53.9   1.22
06 35 53.12 +21 16 11.5   1.08
06 35 53.63 +68 34 32.0   0.74
06 35 56.27 +43 33 17.4   2.07
06 35 56.38 +09 53 27.9   0.83
06 35 57.28 +23 43 33.2   1.76
06 35 59.13 +65 46 44.5   0.55
06 36  0.26 +44 44 25.2   1.59
06 36  0.45 +75 06 43.3   0.50
06 36  1.84 +46 25  4.9   1.35
06 36  1.98 -28 38 15.2   1.86
06 36  2.88 -24 05 58.3   0.79
06 36  5.08 -10 07 22.0   1.19
06 36  5.39 -21 27 45.6   1.43
06 36  5.45 +04 32 31.5   9.50
06 36  5.56 +47 30 55.4   3.92
06 36  6.81 +38 07 25.1   1.35
06 36  7.80 -26 07 21.8   1.12
06 36  8.02 +52 25 54.5   0.66
06 36 10.57 +37 07 48.7   0.48
06 36 11.07 +50 10  0.2   0.78
06 36 14.49 -08 58 49.5   0.93
06 36 14.80 -26 19 34.1   0.94
06 36 15.94 +00 45  6.0   0.99
06 36 17.41 +49 57 22.7   0.73
06 36 17.52 +24 10 25.6   2.43
06 36 19.63 +13 57 36.8   2.86
06 36 20.67 -07 47 41.0   0.75
06 36 21.45 +06 31  5.4   0.90
06 36 21.65 -27 26 45.2   1.74
06 36 22.30 +67 28 58.2   1.90
06 36 22.41 +59 19 32.0   0.50
06 36 23.22 -06 56  9.8   3.00
06 36 24.22 -03 13 52.4   2.60
06 36 24.24 +72 22 43.0   0.65
06 36 25.98 +23 16 50.2   1.61
06 36 26.30 +19 08  1.0   0.70
06 36 27.85 +54 05 47.9   1.26
06 36 27.88 +01 36 17.8   1.84
06 36 28.18 -19 38 36.8   2.41
06 36 28.61 -04 36 49.5   0.74
06 36 31.18 +74 59 20.1   5.52
06 36 31.39 -20 34 39.8   7.79
06 36 31.50 -09 45 60.0   0.64
06 36 31.89 -20 29 36.2  13.86
06 36 31.98 -20 32 41.3  13.45
06 36 32.12 +72 56 53.1   3.18
06 36 32.30 +52 12 53.9   1.96
06 36 33.23 -20 42 27.0  30.57
06 36 33.38 +70 12  7.6   0.69
06 36 33.46 +20 19 57.2   1.37
06 36 33.96 -05 16 24.1   0.85
06 36 34.26 +35 21 23.3   1.15
06 36 35.51 +28 09 38.7   4.55
06 36 36.25 +72 19 17.9   1.25
06 36 37.04 -02 40 42.1   3.53
06 36 37.19 +10 38 25.6   1.12
06 36 39.70 -16 36 42.6   0.73
06 36 40.22 +27 01 40.0   0.93
06 36 40.34 -11 13 10.0   1.03
06 36 41.26 -06 30 32.2   1.84
06 36 41.39 +02 08 19.9   2.60
06 36 43.56 -22 41 39.1   2.19
06 36 44.49 +55 12 43.7   0.91
06 36 45.58 +64 14 13.0   0.70
06 36 46.55 +48 40 25.8   0.45
06 36 46.66 +33 56  9.2   0.83
06 36 46.73 +58 26 34.1   0.45
06 36 47.65 -14 52 38.3   1.65
06 36 49.21 +15 42 55.8   1.87
06 36 50.34 +71 33 46.9   0.40
06 36 53.40 +55 45 42.8   0.40
06 36 53.59 +65 51 38.3   0.46
06 36 53.99 +02 32 31.9   0.96
06 36 54.56 +55 02  8.3   8.30
06 36 54.59 +28 09 41.5   2.76
06 36 56.08 +35 07  3.5   0.72
06 36 56.51 +01 18 24.3   4.64
06 36 57.08 -15 51 34.9   1.00
06 36 57.26 +48 17 46.7   0.44
06 36 58.28 +54 40 21.6   2.32
06 36 58.84 +24 49 42.4   2.14
06 36 58.94 -17 55 12.3   0.94
06 36 59.25 -01 42 26.4   1.26
06 36 59.50 -07 20 42.0   2.00
06 37  0.03 +37 20 15.2   1.35
06 37  0.04 -05 48 38.3   1.16
06 37  0.30 -23 45 58.9   1.94
06 37  0.34 +10 21  2.2   1.34
06 37  2.13 +42 46 19.3   0.41
06 37  2.89 +67 24 34.2   0.54
06 37  4.09 +12 00 35.8   0.71
06 37  6.48 +13 42 25.7   0.76
06 37  7.20 +61 33 44.8   0.55
06 37  7.45 -14 03 20.5   5.19
06 37  7.85 -27 20 47.9   1.07
06 37 10.21 -29 42 17.4   1.03
06 37 11.10 +31 20 57.4   0.90
06 37 11.33 -25 44  2.6   4.95
06 37 11.94 +35 38 10.4   3.60
06 37 12.17 -03 52  0.1   1.70
06 37 13.93 +29 33 16.5   0.92
06 37 16.56 +42 55 33.8   0.85
06 37 17.27 +55 31  6.4   1.14
06 37 18.26 +28 34 34.1   0.81
06 37 18.32 +70 47 32.5   0.45
06 37 18.87 +79 37 49.2   1.63
06 37 19.70 +40 15 35.1   0.50
06 37 20.10 +48 31 44.3   0.43
06 37 21.86 +16 29 51.7   0.62
06 37 21.89 +67 17 10.3   0.56
06 37 22.30 +12 13 27.2   1.29
06 37 22.76 +18 34 35.5   1.68
06 37 23.10 +04 05 37.6   1.45
06 37 23.79 +45 45 45.9   0.92
06 37 25.99 +06 50 28.6   1.14
06 37 26.75 -21 52 52.7   0.70
06 37 27.34 +22 02 36.0   1.91
06 37 27.35 +42 43 58.6   0.64
06 37 27.35 +36 39  2.7   1.22
06 37 30.19 +38 11 42.9   0.62
06 37 30.42 +52 12 21.3   3.11
06 37 33.56 +21 01 44.9   0.68
06 37 35.20 -12 30 15.8   0.74
06 37 37.01 -12 53 58.3   1.77
06 37 37.05 -23 31 18.5   1.63
06 37 37.44 +24 47 51.5   0.98
06 37 38.19 +61 07 40.7   0.69
06 37 38.23 +60 23 43.4   1.06
06 37 38.42 +41 01 32.0   0.62
06 37 38.53 -16 32 21.8   1.15
06 37 38.84 +33 12 53.9   1.20
06 37 40.62 +32 12 49.3   0.62
06 37 41.66 -01 09 57.6   0.93
06 37 42.18 +39 09  2.1   1.94
06 37 42.47 +52 24 42.5   1.48
06 37 43.68 +57 42 50.4   1.52
06 37 43.94 -09 10 44.0   1.67
06 37 44.50 +30 28 58.7  10.07
06 37 46.02 +02 57  4.5   1.00
06 37 46.28 -25 29  6.6   0.74
06 37 46.29 +44 12  5.6   0.50
06 37 46.37 -26 42 13.2   3.57
06 37 47.81 +26 22 34.5   1.31
06 37 48.02 +19 56 18.1   0.40
06 37 49.26 -11 47 31.7   0.56
06 37 49.76 -09 20 42.9   0.82
06 37 50.06 +34 22 27.2   0.87
