   RA(2000)  Dec(2000)    Flux
 h  m    s    d  m   s      Jy
00 25 54.42 -08 28  3.6   0.88
00 25 56.44 +29 15  3.8   0.42
00 26  0.31 +16 31  3.7   0.67
00 26  1.25 -24 32 37.1   0.78
00 26  2.46 +03 59 25.5   0.74
00 26  3.27 +47 09 38.9   0.83
00 26  3.47 +15 01 25.8   1.50
00 26  3.68 +27 59 27.1   1.23
00 26  6.43 -20 36 41.1   2.66
00 26  6.53 +32 08 37.3   2.31
00 26  6.57 -19 06 24.8   1.92
00 26  7.08 +32 23 18.7   0.75
00 26  7.31 -01 49  9.3   1.07
00 26  8.73 -15 02 32.9   3.11
00 26  9.19 +44 35 42.8   0.67
00 26  9.33 -12 47 48.2   7.58
00 26 10.15 +38 31 29.3   1.60
00 26 10.38 +08 08  0.8   2.63
00 26 10.42 +13 30 54.6   2.59
00 26 11.09 +46 19 13.6   2.83
00 26 11.49 +52 42 15.3   0.82
00 26 11.69 +26 23  0.8   0.57
00 26 11.73 +11 39 26.8   1.26
00 26 12.13 +41 47 34.1   0.63
00 26 12.87 +37 10 16.0   0.66
00 26 14.07 +46 07  6.0   0.78
00 26 14.55 -20 04 54.2  10.19
00 26 15.12 -04 19 26.4   0.83
00 26 15.25 -15 04 22.2   0.72
00 26 15.73 -23 51 38.1   2.00
00 26 16.01 +04 16  7.6   0.70
00 26 16.12 +11 46 14.1   2.90
00 26 18.69 -19 26 47.4   0.94
00 26 19.33 +09 30 51.4   0.45
00 26 20.70 -01 04 36.4   3.07
00 26 21.14 +56 02 21.1   1.11
00 26 22.25 +04 19 36.9   1.46
00 26 22.26 -07 37 13.5   0.86
00 26 24.10 -22 02 57.5   1.60
00 26 25.46 +52 25 34.2   1.70
00 26 26.07 +12 14 26.1   2.38
00 26 26.89 +08 15  1.3   0.70
00 26 29.91 -25 46 17.8   0.62
00 26 30.70 +35 03 25.7   0.48
00 26 31.14 +25 34 23.4   1.38
00 26 31.45 -08 42 39.9   4.34
00 26 32.47 +37 28 11.4   0.93
00 26 32.68 -21 27 51.5   1.59
00 26 33.28 -15 10 45.2   0.96
00 26 33.94 +10 41 17.3   0.53
00 26 34.63 -07 37 47.9   3.27
00 26 36.76 -12 54 14.5   1.63
00 26 37.83 +15 51 58.9   0.74
00 26 39.29 +55 22 15.3   0.83
00 26 40.84 +17 41 27.5   0.36
00 26 41.38 +54 18 11.6   0.94
00 26 41.42 +56 32 47.1   1.32
00 26 41.77 +01 58 18.0   1.92
00 26 41.79 +39 00  0.3   0.75
00 26 41.85 +44 07 24.8   0.78
00 26 41.88 +35 08 33.9   1.79
00 26 42.15 +05 47  9.5   1.65
00 26 42.43 +03 39 47.8   1.14
00 26 44.79 +22 47 24.8   0.69
00 26 45.40 +28 11  5.0   1.34
00 26 45.76 +09 31  9.9   0.55
00 26 46.40 +25 14 22.6   1.19
00 26 46.47 +75 15 22.9   0.46
00 26 47.44 -08 45 30.6   0.88
00 26 47.49 +46 30 24.0   0.50
00 26 48.96 +11 18 35.3   1.25
00 26 49.87 +14 44 27.6   0.75
00 26 51.82 +18 26 12.0   1.04
00 26 52.17 +35 56 13.8   2.21
00 26 52.32 +13 39 33.7   0.42
00 26 53.22 -01 02 31.2   0.74
00 26 54.64 +32 58 40.8   1.14
00 26 54.99 +04 31 28.1   0.89
00 26 55.59 -19 10 16.2   0.99
00 26 55.80 -12 19 38.5   0.99
