Results from heasarc_nvss: NRAO VLA Sky Survey Catalog
Coordinate system:  Equatorial
lii      |bii      |flux_20_cm|flux_20_cm_error
246.14636| 17.11514|    1036.6|            35.2
254.73407|  1.46681|    1036.6|            36.0
 92.12354| 26.12585|    1036.7|            31.1
140.26224| 32.42711|    1036.7|            36.5
351.15032| 46.63573|    1037.3|            36.2
100.01018| 16.38345|    1037.3|            36.3
  8.57385|-24.73936|    1037.4|            31.1
225.06715| 40.16760|    1037.6|            31.1
  2.95210| 26.48727|    1037.8|            35.9
316.07992| 29.82805|    1039.2|            32.6
192.79667| 10.35254|    1039.5|            35.8
137.54652|  3.96482|    1039.8|            38.2
200.45726|-45.79952|    1040.1|            31.2
355.23760| 46.50530|    1040.3|            31.2
346.03024| 30.66970|    1040.9|            31.2
149.33430| 19.77407|    1041.0|            36.2
141.33720| 22.90853|    1041.0|            31.2
141.05828|-38.60124|    1041.1|            31.2
 14.91703| -0.97669|    1041.2|            32.0
134.25630| 18.47242|    1041.6|            34.1
179.87439| -2.82986|    1042.0|            36.8
172.97862|  2.44126|    1042.3|            36.7
 37.97021|-19.07110|    1042.3|            36.5
154.08898| 23.39960|    1043.3|            36.6
126.60331| 19.53280|    1043.4|            31.3
225.24642|-12.92064|    1043.5|            36.8
189.15785| 25.46128|    1043.7|            31.3
 52.81031| 33.72451|    1043.9|            31.3
235.55251| -9.27256|    1044.2|            35.3
208.17860|-22.74046|    1044.3|            31.3
 49.20952| -0.96622|    1044.3|            35.3
 39.35736|-26.32356|    1044.6|            31.3
326.09934| 35.03198|    1044.8|            36.6
221.90494|-22.00649|    1045.4|            36.9
228.50799| -8.61852|    1045.7|            31.4
253.79529| -6.12145|    1045.7|            33.7
191.42658|-27.42133|    1046.2|            31.4
 20.17452|-47.22575|    1046.8|            38.2
192.84630| 22.28666|    1046.9|            31.4
255.32173| 79.65151|    1047.0|            32.3
238.39929| -2.45811|    1047.1|            31.4
258.39130| 12.15163|    1047.3|            31.4
 18.04570|  9.38293|    1047.4|            31.4
259.39577| 26.61400|    1047.5|            31.4
354.47449|  0.08034|    1048.9|            33.7
161.81836| 30.21763|    1049.0|            36.5
 41.72017|-38.12985|    1049.1|            31.5
197.49562|-21.34993|    1049.1|            31.5
 75.86115| 28.08343|    1050.1|            37.1
330.01381| 59.04087|    1050.6|            37.1
172.22648|-25.66007|    1051.3|            31.5
168.64827| 37.52113|    1051.6|            31.5
 34.36196| 18.31496|    1052.1|            37.1
303.78193| 33.63765|    1052.7|            40.2
135.20558|-27.41199|    1054.1|            31.6
182.57630| 48.91743|    1054.3|            39.4
  0.60027| -0.04975|    1054.6|            35.0
 75.92926|  5.70001|    1054.6|            32.4
 25.69545|  0.02938|    1054.8|            33.2
143.86943| 18.71809|    1054.8|            34.4
102.92155|  0.28292|    1055.1|            33.9
 23.83590| 50.66628|    1055.3|            37.3
199.37958|-35.84535|    1056.7|            35.6
205.41142| -4.42607|    1056.8|            33.2
106.86707| 35.18465|    1056.8|            31.7
338.84822| 34.73952|    1057.1|            35.2
241.66028| 27.71907|    1057.2|            37.3
174.77170| -5.97042|    1057.7|            34.8
 38.55718| 60.22648|    1058.0|            33.4
 97.65224|-53.96499|    1058.2|            31.7
 95.69885| 19.08548|    1058.5|            31.8
331.57646| 30.03510|    1058.7|            35.1
 94.11194|  1.22300|    1059.6|            31.8
110.46500| 22.73415|    1059.6|            37.4
265.39885| 58.64596|    1059.7|            37.3
107.13837| 65.74655|    1059.7|            34.3
 15.41688|-35.72560|    1059.7|            37.5
 34.22406|-43.93770|    1060.0|            36.5
 16.09503| 50.70087|    1060.2|            37.2
194.89063|-11.98466|    1060.4|            37.5
348.45974|  0.03346|    1060.5|            32.2
  0.28840|-68.33719|    1060.8|            31.8
190.16351|  3.90978|    1060.9|            36.3
 75.33833|-12.63840|    1061.5|            37.4
 73.44339| 41.87747|    1061.6|            36.7
180.46284| 32.08282|    1062.1|            31.9
216.30535| 45.91165|    1062.1|            36.2
243.44745|-19.97926|    1062.1|            34.5
 41.73741| 22.12420|    1062.4|            31.9
112.24494| -1.56030|    1062.4|            32.6
299.18165| 45.50210|    1062.4|            31.9
322.22924| 20.91397|    1063.5|            36.6
278.98239| 70.89176|    1064.4|            37.3
168.30889|-45.86645|    1064.7|            34.3
 66.34998|-38.18092|    1064.7|            31.9
133.70349|  1.17207|    1064.9|            38.1
