Results from heasarc_nvss: NRAO VLA Sky Survey Catalog
Coordinate system:  Equatorial
lii      |bii      |flux_20_cm|flux_20_cm_error
352.75245| 18.30245|    1219.2|            39.0
225.43332|-42.41115|    1219.5|            42.8
185.99265|-70.23160|    1219.5|            36.6
349.74970| 44.89162|    1220.7|            36.6
187.63419|-33.61012|    1221.6|            38.6
180.13495| 66.11917|    1221.6|            36.6
 77.79114|-58.83761|    1223.5|            36.7
279.04757| 39.33104|    1223.6|            36.7
  3.74497|  0.63495|    1223.6|            36.7
145.04048|-14.40068|    1224.9|            36.7
155.35763|  2.60909|    1225.0|            37.2
332.52064| 39.43446|    1225.1|            43.2
 76.15238| -0.28514|    1225.4|            43.8
  5.99557|-21.12786|    1225.6|            40.4
170.24027|-44.92487|    1225.9|            37.1
246.29913| 16.53795|    1226.0|            36.8
 67.83568| 70.66473|    1226.1|            36.8
 49.54961|-83.30972|    1226.3|            41.6
 24.60842|-15.16182|    1226.4|            38.8
214.35486| 50.87679|    1226.5|            45.2
212.75065|-27.91300|    1227.0|            40.6
209.24391| 36.61047|    1227.7|            40.0
224.55717|-50.21336|    1227.7|            43.1
103.53402|-14.12615|    1229.4|            36.9
207.31299| 12.37250|    1229.5|            36.9
111.73976| -2.28927|    1230.6|            37.8
209.29626|-66.67461|    1231.8|            39.8
359.80316|  0.30425|    1232.0|            37.4
 37.73471| 70.31634|    1233.2|            43.5
255.82268| -3.23345|    1233.2|            43.2
110.77145| -0.87581|    1233.3|            43.3
240.68259| -3.80509|    1235.4|            40.9
 36.18260| -8.74433|    1236.1|            37.1
181.78699| 26.14093|    1236.4|            37.1
113.51224| 33.52141|    1238.6|            37.2
289.19747|-78.57741|    1238.7|            41.1
184.66582| -5.47945|    1239.5|            38.1
 55.53941| 30.55177|    1240.3|            46.6
 43.18530| -0.06235|    1240.5|            39.7
220.69359| 24.33176|    1240.9|            43.7
193.64961|  4.39689|    1243.2|            41.0
 17.07711|-50.78462|    1243.2|            37.3
328.80993| 19.96600|    1243.4|            40.6
111.94204| -2.45191|    1243.9|            38.0
133.76544| 42.31834|    1245.0|            37.4
  1.93112| 30.40737|    1245.3|            39.2
354.21211| 17.90637|    1245.4|            37.4
353.15272| 21.05403|    1246.6|            41.3
194.17254| 52.32183|    1247.1|            37.4
127.78363|-17.01548|    1247.1|            37.4
178.68331| 41.86820|    1247.4|            37.4
214.30759|-42.37885|    1248.0|            44.0
103.09560|-29.84681|    1248.3|            37.5
 24.38784|-64.92030|    1248.5|            37.5
  0.77510| -0.44644|    1248.5|            38.0
138.05431|-63.42336|    1248.9|            44.1
 49.23009| 51.19252|    1249.2|            37.5
198.95086|-25.55921|    1249.9|            44.0
359.25981|-24.56043|    1250.0|            47.8
111.63110| -2.24460|    1250.3|            38.3
216.72598| 55.95339|    1250.3|            38.6
164.52450| 17.35140|    1250.3|            37.5
122.48366| 36.20950|    1250.9|            37.5
356.44040| -5.55719|    1251.5|            45.2
263.55122| 44.69360|    1252.3|            37.6
320.99797| 59.54290|    1252.8|            43.5
218.39844| 62.18968|    1253.1|            37.6
 33.74742| 12.62329|    1253.5|            42.9
206.55718|-64.12746|    1254.9|            37.7
167.66342| 34.84946|    1255.9|            37.7
355.27857|  0.06296|    1257.3|            38.3
111.58008|  0.80720|    1258.0|            39.1
150.32446|-67.55436|    1258.9|            37.8
 39.59105|-12.02716|    1259.6|            44.2
207.27478| 32.48035|    1259.7|            37.8
295.92030| 41.12536|    1259.8|            42.0
335.31435|-76.69503|    1259.8|            43.6
121.20399| -2.32183|    1260.1|            44.2
  4.52940|-62.02326|    1260.7|            37.8
 11.34217|-20.77776|    1261.7|            44.0
171.09602| 18.83364|    1261.7|            40.2
235.20328|-44.28281|    1262.3|            41.9
324.02720| 45.56077|    1263.0|            37.9
237.28219|  8.07265|    1263.0|            44.3
135.73706|-16.68976|    1263.7|            37.9
195.19535| 53.59891|    1263.8|            37.9
  3.02897| 34.16359|    1265.7|            38.0
 83.10535|-39.76123|    1266.1|            38.0
242.68395|-36.03117|    1266.6|            44.6
148.78088|-28.44268|    1267.5|            43.4
  0.85688| -0.29432|    1267.7|            39.1
266.13861| 56.96908|    1267.8|            38.0
 73.12909| -2.36784|    1268.0|            38.0
160.70272|-23.07441|    1268.2|            38.0
 79.29468| 56.31238|    1268.3|            38.0
205.55316| 27.62565|    1268.4|            38.1
191.38225| 28.10842|    1268.9|            38.1
310.65691| 43.54573|    1269.1|            38.1
120.14703|-39.48754|    1269.3|            38.1
263.44276| 81.41815|    1269.5|            44.6
214.70461| -1.73697|    1269.7|            40.8
324.46364| 47.17018|    1270.2|            38.1
296.07565| 36.04115|    1270.4|            38.1
  2.86381| 29.65537|    1271.0|            41.1
350.07254| -0.34130|    1271.1|            42.6
218.88906|  6.95669|    1272.7|            42.1
 37.70827| 15.22471|    1272.8|            44.8
118.62434| 23.81320|    1273.2|            44.2
160.29336| 16.99693|    1274.4|            45.0
150.34388| 35.51224|    1274.6|            41.7
203.18906| 56.02209|    1274.7|            38.2
 44.61227| -6.07203|    1274.7|            38.2
200.59506| 28.48706|    1276.2|            43.8
263.22125| 20.13387|    1276.5|            38.3
 83.96230|-19.52291|    1276.8|            38.3
249.41480|-17.60902|    1277.3|            44.7
308.80334| 28.94020|    1277.7|            38.3
 61.79709|-46.76855|    1278.3|            44.1
234.59997|-23.61320|    1278.5|            38.4
  5.30513|-52.89628|    1279.0|            43.7
  4.65955|-64.10985|    1279.7|            45.2
215.97974| 10.37711|    1279.7|            45.1
286.74007| 65.54715|    1280.3|            38.4
226.79662|-76.76369|    1280.6|            46.9
 30.86805|-16.76965|    1280.9|            38.4
233.75878| -0.20140|    1281.9|            39.0
 11.72572| 75.43879|    1282.0|            38.5
 35.61163| -0.03227|    1283.1|            39.3
  7.22982|-73.42642|    1284.3|            38.5
358.44673|  9.81664|    1284.6|            39.5
356.37791|-76.07779|    1284.7|            43.3
171.91977| 22.86907|    1284.9|            44.2
 86.95835| 10.34385|    1284.9|            38.5
124.25534| 10.35570|    1285.0|            41.4
184.70730| -5.50292|    1285.1|            42.9
 67.58189| 39.98633|    1285.2|            38.6
 16.87028|-20.56379|    1286.0|            38.6
  8.41919|  4.65360|    1286.2|            44.8
 12.76381|-20.49903|    1288.4|            40.9
 22.22348|-14.25684|    1288.5|            38.7
255.07284| 16.48000|    1290.4|            38.7
355.72387| 15.30552|    1291.0|            38.7
304.34247| 29.27743|    1291.2|            44.4
 12.66377|-53.11990|    1291.4|            43.9
148.81007|-12.32195|    1291.6|            38.8
  8.39330|-66.05129|    1292.1|            44.2
 96.30090|-31.84914|    1293.1|            38.8
 15.90943|  0.17578|    1293.5|            41.0
108.94013| -9.47335|    1293.5|            38.8
351.89071| 14.34756|    1294.2|            42.8
282.43945| 65.12479|    1295.2|            43.0
321.67803| 21.89927|    1295.4|            38.9
 85.79277| 11.53539|    1295.7|            40.1
250.37949|-73.40022|    1296.9|            38.9
164.75877|-10.23535|    1297.0|            38.9
 66.95786|-23.73875|    1298.1|            38.9
112.73075|-20.96770|    1300.2|            39.0
184.51179|-48.16378|    1300.6|            41.3
238.42705|-85.82950|    1301.8|            39.1
 38.62892|-76.22340|    1302.0|            42.2
349.15866| 72.08902|    1302.8|            39.1
122.85395|-11.67120|    1302.8|            45.6
 22.75537| -0.47869|    1303.8|            40.6
115.06934| 39.40221|    1303.8|            39.1
116.17404| 61.86268|    1304.6|            39.1
 17.23942|-22.69318|    1305.0|            39.2
150.13235|-13.11625|    1305.5|            42.9
236.58132|-53.57240|    1305.7|            44.4
143.17214|-76.05380|    1306.6|            44.5
326.27839| 62.98806|    1309.3|            45.7
 27.44369|  5.43753|    1309.4|            43.5
 20.72078| -0.07952|    1309.5|            40.3
155.87527|  3.45841|    1310.0|            43.6
147.03940|-59.05093|    1310.5|            50.3
 82.61102|  0.38599|    1311.3|            40.0
 77.44693| 12.14786|    1313.0|            39.4
252.65770|  8.44781|    1313.2|            39.4
167.86249| 36.52727|    1313.5|            41.1
 27.47554| 17.91804|    1315.0|            39.5
 26.54120|  0.41476|    1315.7|            45.5
 61.13403| 72.37090|    1316.1|            46.3
227.21321|-26.99691|    1316.9|            39.5
163.42811|  4.85635|    1317.0|            39.5
 99.69236|-31.25774|    1317.8|            39.5
312.44117| 49.97246|    1318.2|            46.4
 11.10450| 35.98198|    1319.1|            39.6
108.75867| -0.94985|    1320.1|            47.7
276.41297| 20.34678|    1320.2|            41.9
  6.77529| 43.23221|    1320.4|            39.6
156.41673|  1.31727|    1320.5|            39.6
 31.41402|  6.92641|    1320.7|            39.6
349.44588| 41.08709|    1320.7|            39.6
 18.29180| 19.64054|    1320.9|            39.6
114.33224|  6.59062|    1321.5|            46.7
 95.22669|-66.51272|    1321.9|            39.7
124.96917|-16.41631|    1321.9|            42.7
189.75150|-29.09599|    1324.8|            42.1
189.15834| 30.48578|    1325.2|            42.6
 17.43162| 12.76623|    1326.2|            42.5
 62.78214|  2.42999|    1327.7|            39.8
216.95480|-22.05339|    1328.3|            39.9
 18.70687| 26.25405|    1328.5|            39.9
 14.91215|-46.52361|    1328.7|            39.9
 68.21816|-21.27707|    1329.0|            46.5
222.51710| 15.97934|    1329.1|            47.2
357.42532| 34.78528|    1329.2|            39.9
105.13721| 31.76350|    1330.0|            51.5
 44.88415|-50.27708|    1330.0|            39.9
  3.10065| 19.38991|    1330.4|            42.0
359.73319|-16.07525|    1330.7|            39.9
184.54548| -5.58229|    1331.1|            40.5
233.06088| 38.85246|    1331.5|            47.0
 14.91750| -0.40434|    1332.1|            40.6
207.31317|  1.15230|    1333.5|            43.6
244.68143|-21.88554|    1333.8|            46.4
 68.31923| 49.53561|    1333.8|            46.4
 62.30392|-12.78737|    1334.6|            40.0
219.51494|-16.56913|    1334.6|            48.7
 59.99046|-68.38544|    1334.9|            40.0
 26.27301| 55.51164|    1335.2|            40.1
162.97982|  4.45973|    1335.6|            46.5
252.13538|  3.92437|    1335.9|            40.1
 46.22665| 40.27110|    1336.1|            45.3
184.80794| 67.11217|    1336.3|            41.3
 30.73620| 33.96033|    1336.4|            47.1
241.78811|-24.00876|    1337.0|            40.1
 93.95915| 46.13755|    1337.4|            45.7
175.69545|-18.36382|    1337.5|            40.1
219.86667| 44.02435|    1338.5|            40.2
351.47334| -0.46069|    1338.9|            42.0
351.68865| -1.18311|    1339.2|            41.4
179.46595|-23.93228|    1339.7|            45.1
313.55149| 27.95864|    1341.7|            40.6
128.21126| 76.25853|    1341.8|            40.3
135.95812| -5.72428|    1341.8|            45.0
 87.48805|-37.90695|    1342.2|            45.1
125.71938| 35.83596|    1343.1|            40.3
121.91265|-65.58444|    1343.7|            43.5
 21.39681| 22.58163|    1344.1|            47.2
268.73715| 73.42450|    1344.2|            40.3
 28.65201|  0.02808|    1345.1|            41.0
  9.49146|-14.26750|    1345.2|            42.0
 22.43614|  5.39671|    1345.7|            40.4
 36.89736|-24.38748|    1346.5|            40.4
229.84324|-12.35744|    1347.0|            42.7
120.14387|  1.41730|    1348.4|            40.8
235.23982| 62.89185|    1348.7|            40.5
191.19375| 13.41887|    1348.8|            46.5
106.17036|-55.89648|    1349.0|            47.4
  6.00019| -1.17673|    1350.5|            41.1
 13.58544| 17.50001|    1351.8|            40.6
 76.06727| 22.47227|    1353.3|            40.6
  6.88708| -5.13889|    1353.3|            47.8
231.46425| 24.93361|    1354.0|            40.6
323.45076| 29.10675|    1354.5|            40.6
 90.82539| 31.72466|    1354.7|            43.7
229.03272|-30.06894|    1354.9|            40.6
146.65707|-37.84336|    1355.6|            47.1
  8.25014|-17.58556|    1356.0|            40.7
328.80582| 19.93169|    1356.1|            44.5
112.05045| -2.25456|    1356.4|            41.7
215.44921|-22.21368|    1356.7|            50.7
 48.05708| -6.23488|    1356.8|            47.9
116.28371|  3.93724|    1357.6|            40.7
141.50574|-57.16801|    1357.6|            40.7
188.43136| 24.66386|    1357.8|            41.5
124.15724|-36.45128|    1361.7|            45.4
225.88168|-46.73020|    1361.9|            40.9
218.02794| 69.20039|    1362.0|            40.9
 84.93004| -3.49655|    1362.4|            40.9
126.35163| 17.57014|    1362.5|            40.9
200.19434| 50.55095|    1362.7|            40.9
344.76575|-81.84682|    1363.3|            44.2
359.93129| -0.59888|    1366.7|            41.5
123.04922|-45.08548|    1367.5|            41.0
 55.04033| 82.59532|    1368.5|            44.3
321.26117| 30.39597|    1368.8|            48.2
115.26532| 76.83978|    1368.9|            47.3
 86.73243| 26.18382|    1369.6|            48.2
120.68321|-49.17752|    1369.7|            47.9
326.06370| 45.80969|    1370.6|            47.4
 27.36009|-70.76085|    1373.1|            48.5
188.95456| -3.20762|    1374.3|            41.2
213.08437| 38.30864|    1374.6|            41.2
 69.05951|-27.69408|    1374.8|            41.2
 13.13081|-24.54059|    1375.8|            41.3
339.44948| 38.11204|    1376.1|            41.3
 79.31658|-13.16049|    1376.5|            41.3
 11.46323| 36.31036|    1376.6|            48.2
187.82809| 70.55355|    1376.8|            48.6
127.44146| 20.32489|    1378.2|            41.3
 15.37246| -0.63300|    1380.4|            42.1
225.35612|  2.93259|    1380.5|            46.8
277.40953| 47.73386|    1382.8|            41.5
226.64303|-10.34338|    1382.9|            43.6
163.05213|-35.96623|    1384.8|            44.1
 52.66758| 45.34564|    1385.0|            52.3
 24.32772| 48.79976|    1386.8|            41.6
 76.07673|  5.87349|    1386.8|            42.3
305.27279| 30.38719|    1387.0|            44.7
119.90259| -8.72111|    1389.0|            41.7
217.26831| 25.43491|    1389.7|            48.7
 53.47931| 13.07091|    1390.0|            41.7
134.72077| 12.70607|    1391.3|            41.7
166.94187|-42.42989|    1391.5|            41.7
 23.02827| 40.78883|    1392.0|            41.8
182.59623| 55.87722|    1392.2|            41.8
236.11827|  3.16587|    1393.2|            41.8
345.67603| 20.26574|    1393.9|            41.8
180.11308| 42.47306|    1394.5|            44.9
  4.40001|  0.10625|    1395.4|            42.4
 73.35023|-16.62102|    1397.0|            47.8
272.94485| 20.38855|    1397.0|            49.2
217.69754|  7.22713|    1398.9|            42.0
221.21886| 22.38832|    1400.1|            42.0
249.38944|-17.60371|    1401.8|            49.7
 38.47198| 44.43862|    1401.9|            42.1
173.89543| 79.92403|    1403.6|            42.1
 50.99442|-69.69765|    1404.5|            43.6
241.11382| 52.65164|    1405.2|            42.2
159.71193|  3.65275|    1407.6|            42.2
 14.92297| -0.46320|    1408.0|            42.9
134.38687|-42.86678|    1408.1|            45.2
165.81750|-21.05828|    1408.6|            45.1
177.35302|-58.46305|    1408.9|            49.7
327.90792| 36.93128|    1409.4|            49.2
178.97737| 38.03218|    1409.7|            42.3
 21.59093| 13.12747|    1410.7|            42.3
359.80807| -0.59485|    1410.9|            42.8
 23.70726|  0.16994|    1411.2|            49.1
 85.73880| 26.08134|    1411.7|            42.4
 32.53181|-42.89580|    1412.1|            42.4
 26.69918| 28.65018|    1412.5|            42.4
 51.71870| 35.10816|    1413.9|            42.4
217.95892|  4.25776|    1414.6|            42.4
 20.79631|-21.50999|    1415.1|            42.5
 66.15497| 80.83792|    1415.1|            49.7
 19.06960| -0.28115|    1416.3|            46.1
247.68964| 79.01298|    1417.9|            49.8
 60.40385| 40.73977|    1418.1|            47.3
104.71870| 28.82876|    1418.8|            42.6
 84.43003|-40.26313|    1423.2|            42.7
269.97175| 83.17595|    1423.2|            45.1
312.72576| 28.95238|    1423.4|            47.8
147.64109| 64.08830|    1424.5|            42.7
111.52026| -2.40141|    1425.4|            43.4
 60.82107|-35.05335|    1425.5|            42.8
 71.83931|-64.67470|    1425.7|            42.8
316.66910| 31.16479|    1425.8|            42.8
181.35580|  8.93215|    1425.9|            42.8
  6.30140|-39.16458|    1426.3|            42.8
112.39324| -2.25539|    1427.1|            43.4
155.72444| 22.35013|    1429.5|            42.9
130.38051|-47.84150|    1429.7|            49.7
357.97151| 64.11269|    1430.2|            43.3
142.92945| -7.01183|    1430.4|            42.9
140.45712|-55.11378|    1430.8|            44.4
 80.72921|-62.91127|    1431.7|            50.5
 36.22770|-49.06768|    1433.0|            43.0
284.60625| 35.74490|    1434.0|            43.0
 60.69779|-46.88287|    1434.8|            50.5
 10.87801|-16.87839|    1435.5|            48.2
 82.78323|-41.94069|    1435.8|            43.1
 78.14298|  1.81100|    1436.2|            43.9
245.07238| -4.29717|    1437.4|            43.1
139.89864|-31.83479|    1437.9|            50.6
358.41417|  9.87675|    1438.9|            44.1
329.55596| 19.24707|    1442.1|            43.3
  4.42005|  0.12355|    1444.1|            45.7
196.58186|  3.20355|    1444.2|            43.3
186.68508|  6.74963|    1444.4|            50.8
235.55332|-46.54012|    1445.3|            43.4
 73.32841| -5.45365|    1448.7|            50.1
162.04890| 67.96546|    1448.8|            43.5
 38.40662|-43.34961|    1449.0|            48.8
224.90445|-55.39945|    1449.3|            51.0
161.95809| 35.11767|    1449.4|            43.5
 32.79877|  0.18977|    1449.5|            57.1
 25.74993|  0.18706|    1450.8|            44.1
208.16082| 18.76059|    1452.8|            43.6
279.02165| 20.20095|    1453.6|            51.2
146.78806| 26.16578|    1454.7|            51.3
 39.30736| 24.00653|    1455.8|            51.1
 33.04166|-44.96454|    1457.8|            43.7
 37.83930|-10.27098|    1458.4|            43.8
 31.38798| -0.38337|    1459.8|            43.8
 43.69122|-57.58814|    1460.7|            51.5
 82.71165|-61.30498|    1460.7|            51.5
188.45267| 48.66712|    1460.8|            49.9
314.01043| 71.48755|    1461.8|            43.9
 13.99436| -0.12733|    1462.6|            44.8
 75.41816| -1.29326|    1463.3|            43.9
208.84807|-81.22835|    1464.4|            48.9
 32.20643|-21.61046|    1465.0|            44.0
244.68506|-21.86398|    1465.6|            49.5
 49.37779| -0.26822|    1465.8|            53.4
 72.97898| 38.19904|    1466.6|            48.5
274.59824| 35.41398|    1466.7|            44.0
182.22190| 19.73916|    1467.1|            44.0
134.46436|-31.60945|    1467.6|            48.2
150.86527|  8.95472|    1467.7|            51.6
170.22020|-44.90405|    1468.3|            47.0
317.70948| 61.23179|    1468.9|            44.1
357.85957| 64.10543|    1469.1|            44.9
 55.54189| 30.56935|    1469.3|            55.2
111.68521| -1.91224|    1469.6|            44.7
 97.74686|-34.65390|    1470.6|            44.1
206.50704|-16.32285|    1471.1|            45.2
155.36345|  5.09722|    1471.1|            47.5
168.66727| 31.46208|    1471.7|            44.2
 28.77353| 14.96716|    1471.8|            50.5
142.29797|-66.05588|    1472.3|            51.8
189.21413| -6.93194|    1473.8|            56.8
253.34689| 11.79422|    1474.1|            44.2
171.87154|-20.11705|    1476.1|            44.3
224.60881|-50.28586|    1478.0|            46.1
 93.90014|-14.40293|    1478.0|            44.3
 77.96108| -0.00099|    1478.1|            45.5
 15.30723| -0.32939|    1479.5|            45.0
100.99852|-32.02582|    1479.9|            44.4
182.14161| 34.19193|    1480.8|            44.4
242.47050| 61.00643|    1481.3|            44.4
147.41903|-11.56191|    1482.1|            44.5
210.14292|-28.28065|    1482.4|            44.5
 44.80987| 44.60659|    1484.4|            52.4
 90.05293|-54.67652|    1485.8|            44.6
101.23552|-20.38804|    1487.1|            44.6
133.56112| 28.84517|    1487.5|            51.9
242.58032|-12.87502|    1487.8|            44.6
324.30794| 42.39580|    1488.5|            52.6
 29.31309|-28.17403|    1488.9|            52.6
155.25849|-45.82682|    1489.0|            49.9
230.96394|  8.90005|    1492.1|            52.4
101.18598| 29.16255|    1492.5|            49.8
140.25682|-16.76951|    1492.7|            52.9
  1.57869|-28.95818|    1493.3|            44.8
111.82459| 55.65794|    1493.3|            44.8
 63.16269|  0.45884|    1494.4|            45.6
 62.86480|-70.48914|    1494.6|            50.2
  7.47179|  0.05891|    1495.1|            51.0
353.31085|  3.76672|    1495.2|            44.9
269.78593| 83.15170|    1495.3|            47.5
174.46057|-56.15641|    1495.3|            44.9
329.60278| 20.19721|    1495.8|            52.7
283.97616| 74.52003|    1496.5|            45.7
231.41612| 11.97888|    1497.4|            53.1
160.30021| -6.12317|    1498.9|            48.7
226.49314| -8.37996|    1500.9|            51.6
275.90523| 64.58169|    1501.2|            58.5
163.82690| 25.11027|    1501.4|            49.9
212.42086|-61.61264|    1503.7|            48.9
248.33581|-10.97590|    1503.9|            48.3
313.97682| 36.02298|    1504.2|            45.1
268.39305| 34.31115|    1504.7|            45.1
314.35481| 35.96138|    1505.0|            52.8
165.48039| 79.19914|    1506.8|            45.2
358.97744| 35.63631|    1508.0|            53.3
134.79623| 32.24955|    1508.6|            53.0
206.81209| 35.82088|    1511.8|            45.4
349.81583| -0.52824|    1511.9|            46.2
218.87120|  6.96852|    1512.2|            52.7
 41.60359| -2.92803|    1512.3|            53.1
318.71071| 24.61602|    1514.0|            45.4
171.64736|  7.28446|    1516.0|            45.5
115.71877| -6.50211|    1517.8|            52.9
208.93517|-19.66524|    1517.8|            46.0
298.20791| 52.37293|    1518.5|            45.6
195.32201| -6.35755|    1518.7|            53.6
114.19753|-27.53685|    1519.0|            53.6
336.98622| 51.34432|    1520.8|            47.5
125.52228| 10.06400|    1521.3|            45.6
136.12546|-59.21345|    1521.8|            45.7
102.06586|-29.85657|    1522.0|            52.0
285.69570| 28.06335|    1524.2|            59.6
 43.14688|  0.01148|    1524.4|            51.4
340.03620| 21.56919|    1525.0|            54.0
251.64434| 67.54428|    1527.0|            49.3
212.17278| 39.10917|    1527.3|            54.1
215.04471|  2.25470|    1527.5|            45.8
 70.18493| -4.91344|    1529.5|            45.9
  0.06226| -0.56685|    1529.6|            46.4
354.91613| 25.19297|    1532.9|            54.0
 24.29950| 27.44054|    1533.8|            46.0
258.80648| 17.26490|    1536.1|            46.1
318.08232| 43.31422|    1536.4|            46.1
287.17052| 28.91777|    1537.7|            49.5
 12.43183|  3.84406|    1537.8|            46.1
347.97404| 68.42875|    1537.9|            46.1
134.10535|-54.60952|    1539.0|            53.7
 45.12295|  0.13204|    1539.6|            53.3
132.12230|  6.23319|    1539.9|            46.2
141.15836|-61.76016|    1540.2|            46.2
  9.25859| 51.76283|    1540.3|            52.7
 99.00168| 41.89949|    1540.6|            48.7
203.41658| 15.42260|    1541.8|            51.6
164.14266| 38.57986|    1542.3|            51.8
239.13041|-49.32283|    1544.4|            48.1
162.06272| 55.17589|    1545.2|            46.4
 76.32539|-59.79462|    1548.9|            54.6
109.00619| 40.42321|    1549.1|            52.9
226.12365| -5.30178|    1550.5|            46.5
143.14724|  5.96637|    1551.3|            59.6
 29.91685| -0.04965|    1552.8|            48.0
 97.69081| 50.10535|    1553.1|            46.6
327.88569| 30.43019|    1554.0|            46.6
135.52687| 14.69966|    1554.3|            46.6
 80.17761|-18.77078|    1554.3|            56.7
113.56716| 10.84925|    1554.9|            46.6
133.72114|  1.11619|    1555.3|            50.3
265.13192| 21.78609|    1555.3|            46.7
191.36767|-11.01185|    1556.2|            46.7
170.47059| 53.19656|    1557.2|            46.7
 63.60004| 38.85908|    1558.0|            46.7
 30.02695| 68.52862|    1558.7|            53.9
 71.16275| -0.08818|    1559.3|            46.8
157.09142|-42.73807|    1559.7|            46.8
 33.90950| 49.45693|    1560.2|            54.3
136.82959|-40.69115|    1562.8|            54.8
 85.65619| -9.97457|    1565.9|            47.0
215.65635|-78.87511|    1566.1|            47.0
161.46304| 67.47166|    1567.1|            47.0
 28.60270| -0.13326|    1567.8|            48.2
  0.76142| -0.15193|    1568.6|            48.4
351.46865| -0.45629|    1571.0|            56.6
145.54846| 64.98316|    1572.2|            47.2
339.77208| 78.46666|    1573.2|            47.2
193.16418|-35.24588|    1574.2|            55.6
111.68660| -1.84652|    1574.4|            47.8
 44.87139| 29.86688|    1574.9|            47.2
 49.58512| -0.38245|    1575.1|            54.6
 76.39180|  5.97138|    1576.9|            48.0
 67.93533|-22.82488|    1578.5|            55.7
 20.73029|  6.31468|    1579.8|            50.6
170.34174| 21.91345|    1584.9|            47.5
133.73512|  1.18290|    1585.7|            54.5
  0.80542| -0.32997|    1585.8|            48.8
211.91782| 37.24882|    1586.2|            51.9
 85.29874| 11.75706|    1587.6|            47.6
 88.43663| 31.07240|    1588.7|            52.4
 95.58432| -4.85989|    1589.4|            47.7
 78.02184|-45.05830|    1589.8|            55.4
136.06058| 56.90959|    1591.7|            47.8
159.84842|-10.50696|    1592.1|            47.8
229.04151| 13.16302|    1594.9|            47.9
 30.07425| -7.19786|    1595.3|            47.9
260.26101| 52.35219|    1595.6|            52.6
164.10160| 43.84347|    1597.8|            55.7
 11.20631| -0.35579|    1598.1|            51.3
 78.20597| -0.35670|    1598.4|            48.6
180.99231| 50.28455|    1599.5|            48.0
224.17133|  7.51687|    1599.7|            56.2
334.19237| 64.78725|    1600.9|            48.0
 29.37450| 22.96655|    1601.2|            53.4
191.21290| 13.40346|    1601.8|            55.8
 23.95600|  0.15150|    1601.8|            53.3
210.30510| 24.24436|    1603.3|            54.5
346.64612| -0.24429|    1604.1|            48.1
359.96333|-11.35995|    1604.6|            59.5
303.90860| 65.50820|    1604.9|            53.1
131.25416| 10.96082|    1608.3|            52.9
 91.66461|-60.36289|    1608.4|            56.2
151.12206| 49.17007|    1609.3|            48.3
142.03159|-30.54216|    1610.4|            51.3
 34.16922|-40.80615|    1610.5|            56.9
281.67652| 67.35565|    1611.0|            52.0
159.73782|-18.40718|    1611.6|            50.5
352.34925| 61.54220|    1612.6|            56.0
  0.48634| -0.06001|    1612.7|            52.3
 91.99460|-54.06325|    1612.9|            48.4
 30.15036|-12.94813|    1613.9|            52.3
103.19247|-60.53547|    1620.1|            55.0
199.95048| 77.22068|    1620.3|            56.4
102.82275|-41.66615|    1621.2|            54.3
300.36416| 41.62717|    1622.2|            56.7
181.65695|  8.47680|    1623.8|            48.7
 63.69176| -2.33575|    1624.0|            60.8
170.91251|-38.90004|    1626.0|            55.2
 43.48715|  9.15652|    1626.4|            57.1
153.90141|-51.28075|    1628.1|            56.5
314.98288|-77.82652|    1630.6|            48.9
 25.03035|-11.28338|    1632.5|            50.0
 52.45819|-55.10780|    1633.7|            55.9
 17.78861|-39.55317|    1635.3|            53.3
 69.77944|-37.59337|    1635.3|            49.1
214.83316|-27.35921|    1636.4|            49.1
255.67283|  5.64917|    1636.5|            52.4
312.86334| 62.30645|    1636.7|            56.6
254.79830| 69.67987|    1638.4|            57.1
176.84279|-69.68560|    1641.2|            49.2
198.09336|-31.46448|    1642.5|            49.3
227.72277| 14.99974|    1642.6|            49.3
119.14176| 29.64558|    1642.9|            49.3
126.86049|-14.29849|    1643.0|            49.3
 28.80221|  0.17258|    1644.6|            55.4
178.97887| 18.29035|    1645.3|            49.4
293.15708| 60.10123|    1646.7|            58.2
103.25936| -3.27128|    1647.8|            49.4
331.77093| 41.98986|    1648.3|            56.1
193.98374|-30.11400|    1649.3|            56.6
115.24088|-21.44478|    1650.9|            64.2
354.18001| 51.12283|    1651.5|            58.1
127.60681|-30.91147|    1653.3|            54.0
290.36190| 35.18017|    1653.6|            58.3
184.16083| -5.56577|    1658.7|            50.3
290.97295| 44.51268|    1661.7|            49.9
185.06503|-30.77162|    1662.2|            49.9
  5.93781|-14.44700|    1663.0|            57.7
161.85672|-43.30555|    1664.3|            49.9
191.36516|-45.63052|    1665.0|            50.0
283.76869| 50.34981|    1665.4|            58.5
114.92124| 38.33160|    1666.2|            50.0
278.02598| 41.65129|    1667.3|            58.8
 45.47802|  0.13167|    1671.5|            62.2
111.65167| -2.27022|    1671.9|            51.0
112.17162| -1.73963|    1673.1|            50.8
189.57616|-36.67493|    1675.7|            50.3
 65.74420| 44.21832|    1677.4|            50.3
114.06723|-29.97519|    1677.8|            50.3
227.08504|  1.01674|    1679.2|            54.2
131.45828|  1.15669|    1683.3|            50.5
237.03177|  6.81560|    1683.8|            50.5
 19.63992|-12.11276|    1685.6|            50.6
 94.77538| -0.89627|    1685.9|            50.6
